title,abstract,pages,DOI,link,year
Database-Integrated Machine Learning for Enhanced Performance,"Our study presents a novel database-integrated machine learning framework aimed at bridging the gap between database systems and machine learning, addressing data transfer costs and performance concerns. The framework introduces a machine learning management system between the database client and server, effectively storing and managing fine-grained operations such as computation graphs, derivatives, calculations, and model updates within user-defined functions in the database. These operations are encapsulated using Python, enabling precise control and ease of programming in the machine learning process. Additionally, the framework supports parallel computing and performance optimization, offering outstanding performance comparable to dedicated machine learning frameworks. Most importantly, it provides a programming experience akin to traditional machine learning frameworks, allowing developers to disregard the database's presence and focus on machine learning tasks. This research introduces a promising solution in the field of in-database machine learning, with the potential for far-reaching impacts in data-driven applications. © 2023 IEEE.",203-209,10.1109/BigDIA60676.2023.10429411,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85186690267&doi=10.1109%2fBigDIA60676.2023.10429411&partnerID=40&md5=4018f542d97032e364e9f8547b01716b,2023
Parallel Acyclic Joins: Optimal Algorithms and Cyclicity Separation,"We study equi-join computation in the massively parallel computation (MPC) model. Currently, a main open question under this topic is whether it is possible to design an algorithm that can process any join with load O(N polylog N/p1/ρ∗ ) — measured in the number of words communicated per machine — where N is the total number of tuples in the input relations, ρ∗ is the join’s fractional edge covering number, and p is the number of machines. We settle the question in the negative for the class of tuple-based algorithms (all the known MPC join algorithms fall in this class) by proving the existence of a join query with ρ∗ = 2 that requires a load of Ω(N/p1/3) to evaluate. Our lower bound provides solid evidence that the “AGM bound” alone is not sufficient for characterizing the hardness of join evaluation in MPC (a phenomenon that does not exist in RAM). The hard join instance identified in our argument is cyclic, which leaves the question of whether O(N polylog N/p1/ρ∗ ) is still possible for acyclic joins. We answer this question in the affirmative by showing that any acyclic join can be evaluated with load O(N/p1/ρ∗ ), which is asymptotically optimal (there are no polylogarithmic factors in our bound). The separation between cyclic and acyclic joins is yet another phenomenon that is absent in RAM. Our algorithm owes to the discovery of a new mathematical structure — we call “canonical edge cover” — of acyclic hypergraphs, which has numerous non-trivial properties and makes an elegant addition to database theory. © 2024 Association for Computing Machinery. All rights reserved.",-,10.1145/3633512,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85186142882&doi=10.1145%2f3633512&partnerID=40&md5=99382681d318fc00141bad5ddd2f8c77,2022
Protecting Data Integrity of Web Applications with Database Constraints Inferred from Application Code,"Database-backed web applications persist a large amount of production data and have high requirements for integrity. To protect data integrity against application code bugs and operator mistakes, most RDBMSes allow application developers to specify various types of integrity constraints. Unfortunately, applications (e.g., e-commerce web apps) often do not take full advantage of this capability and miss specifying many database constraints, resulting in many severe consequences, such as crashing the order placement page and corrupting the store inventory data. In this paper, we focus on the problem of missing database constraints in web applications. We first study several widely used open-source e-commerce and communication applications, and observe that all these applications have missed integrity constraints and many were added later as afterthoughts after issues occurred. Motivated by our observations, we build a tool called CFinder to automatically infer missing database constraints from application source code by cleverly leveraging the observation that many source code patterns usually imply certain data integrity constraints. By analyzing application source code automatically, CFinder can extract such constraints and check against their database schemas to detect missing ones. We evaluate CFinder with eight widelydeployed web applications, including one commercial company with millions of users. Overall, our tool identifies 210 previously unknown missing constraints. We have reported 92 of them to the developers of these applications, so far 75 are confirmed. Our tool achieves a precision of 78% and a recall of 79%.  © 2023 ACM.",632-645,10.1145/3575693.3575699,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85147730589&doi=10.1145%2f3575693.3575699&partnerID=40&md5=d31764050389649b9a1cbe7cd8e2f901,2024
Update Algorithm of Secure Computer Database Based on Deep Belief Network,"In order to ensure the security of large-scale data transmission in a short time and in a wide range during online database updating, this paper presents a secure computer database updating algorithm based on DBN (Deep Belief Network). In this paper, the model adopts multi-layer depth structure for unsupervised feature learning, maps high-dimensional and nonlinear intrusion data to low-dimensional space, establishes the relationship mapping between high-dimensional and low-dimensional, and then uses fine-tuning algorithm to transform the model to achieve the best expression of features. At the same time, this method improves the data processing and method model without destroying the learned knowledge of the model and seriously affecting the real-time performance of detection. In order to overcome the problem of system instability caused by fixed empirical learning rate, this paper proposes a learning rate optimization strategy based on energy change. In the process of feature extraction, the features of different hidden layers are extracted to form combined features. Experiments show that the detection rate of this method can reach 95.31%, and the false alarm rate is 2.14%. This verifies the effectiveness of the secure computer database updating algorithm in this paper. Which can ensure the online update of the secure computer database.  © 2023 River Publishers.",1-26,10.13052/jcsm2245-1439.1311,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85180268403&doi=10.13052%2fjcsm2245-1439.1311&partnerID=40&md5=0ba6d8d19f18bb4023e7930612f923aa,2021
DITune: A Reinforcement Learning Based Framework for Automated Database Index Selection,"Index selection is a crucial and essential aspect of database management systems (DBMS) aiming to optimize performance, and it is also one of the most time-consuming and laborious tasks for database administrators (DBAs). Therefore, automatic methods and tools are urgently needed to help DBAs choose a good index configuration for workloads. We propose a recommender system named DITune (Database Index Tuning) which can automatically analyze workloads, explore the potential benefits of indexes, and adjust the index configuration. We first implement a rule-based method to embed the database workload and data distribution feature. Then we utilize the Deep Deterministic Policy Gradient (DDPG) algorithm to generate index recommendations and construct index configuration. Moreover, we design a benchmark based on the standard TPC-C to validate the performance of our method under the varying workload patterns, query complexity, and running phase length. The experiment results show the effectiveness and robustness of DITune and indicate that the data-driven prediction outperforms those models based on cost estimation. © 2024 IEEE.",-,10.1109/IMCOM60618.2024.10418292,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85186143539&doi=10.1109%2fIMCOM60618.2024.10418292&partnerID=40&md5=54824c47e880a6ce2ebf1d39bbb455d7,2021
Aggregation Consistency Errors in Semantic Layers and How to Avoid Them,"Analysts often struggle with analyzing data from multiple tables in a database due to their lack of knowledge on how to join and aggregate the data. To address this, data engineers pre-specify ""semantic layers""which include the join conditions and ""metrics""of interest with aggregation functions and expressions. However, joins can cause ""aggregation consistency issues"". For example, analysts may observe inflated total revenue caused by double counting from join fanouts. Existing BI tools rely on heuristics for deduplication, resulting in imprecise and challenging-to-understand outcomes. To overcome these challenges, we propose ""weighing""as a core primitive to counteract join fanouts. ""Weighing""has been used in various areas, such as market attribution and order management, ensuring metrics consistency (e.g., total revenue remains the same) even for many-to-many joins. The idea is to assign equal weight to each join key group (rather than each tuple) and then distribute the weights among tuples. Implementing weighing techniques necessitates user input; therefore, we recommend a human-in-the-loop framework that enables users to iteratively explore different strategies and visualize the results.  © 2023 ACM.",-,10.1145/3597465.3605224,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85165577844&doi=10.1145%2f3597465.3605224&partnerID=40&md5=7e50133780d13ca51d529d82a07261a4,2020
Incremental clickstream pattern mining with search boundaries,"Recently, there has been a growing interest in sequential pattern mining in data mining, with a particular focus on clickstream pattern mining. These areas hold the potential for discovering valuable patterns. However, traditional mining algorithms in these domains often assume that databases are static, simplifying the mining process. In reality, databases are updated incrementally over time, partially rendering a portion of the previous results invalid. This necessitates rerunning algorithms on updated databases to obtain accurate frequent patterns. As database size increases, this approach can become time-consuming and affect performance. To tackle this issue, we propose PSB-CUP to mine frequent clickstream patterns in an incremental update manner. PSB-CUP employs the concept of search borders to reduce the search space and the information retained in memory. Furthermore, an IDList generation method called “partial imbalance join” was proposed to reconstruct possibly missing information during the incremental process. This join method, however, requires more extra information to be cached in exchange for speed. We then improve this technique by introducing “recursive imbalance join”, removing the need for extra cached data in the PSB-CUP + algorithm. The experimental results show that our proposed algorithms are efficient for incremental clickstream pattern mining. © 2024 Elsevier Inc.",-,10.1016/j.ins.2024.120257,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85185494013&doi=10.1016%2fj.ins.2024.120257&partnerID=40&md5=4a3d50c76e29f9656b4e088ff6f999fe,2021
LAMIS-DMDB: A new full field digital mammography database for breast cancer AI-CAD researches,"The current state of machine learning (ML) and deep learning (DL) shows that they are powerful tools that can be used to glean knowledge from a huge amount of data. While a great deal of research in this area has centered around improving the accuracy and efficiency of training and inference algorithms, there has been relatively little attention paid to the equally important problem of monitoring the quality of data. To tackle this challenge, we have created a cutting-edge breast database capable of employing ML and DL algorithms to detect and classify breast cancer. It is noteworthy that compared to other digital mammogram databases (DMDB), the Laboratory of Mathematics, Informatics and System (LAMIS) images have better resolution and are in full-field digital mammography (FFDM) format. Furthermore, the images can be accessed according to their abnormality (normal, benign, malignant), lesions classification (mass, calcification, architectural distortion, multiple finding), American College of Radiology (ACR) density classification (ACR1, ACR2, ACR3, ACR4) and Breast Imaging Reporting and Data System (BI-RADS). Specifically, the database is designed to provide a variety of metadata as well as clinical data in simple comma separated values (CSV) format that can be really beneficial to the breast cancer research community and to the development of computer-aided diagnosis (CADx) tools that rely on artificial intelligence (AI) algorithms, such as those based on DL models. © 2023",-,10.1016/j.bspc.2023.105823,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85179755432&doi=10.1016%2fj.bspc.2023.105823&partnerID=40&md5=c0b064453f44b4a0c53bb1e9eebb64b4,2023
Accelerating DNA Sequence Analysis using content-addressable memory in FPGAs,"Biological sequence alignment is a widely used technique where the sequence databases are searched to find similar sequence to the input query. In this work we focus on the most popular local sequence alignment algorithm; Basic Local Alignment Search Tool (BLAST). It is a computationally intensive operation, and with exponential growing databases, makes it further complex to execute in real time. Field-programmable gate arrays (FPGAs) provides hardware-like performance and software-like programmability which makes them the ideal candidate for computationally complex tasks. This paper presents a content-addressable memory (CAM)-based implementation of BLAST on FPGA that accelerates the alignment process using concurrent computations. The searching of the input query is performed in parallel across the database sequence to produce the result in one clock cycle. The proposed design is implemented on Xilinx Virtex-7 FPGA device XC7VX690TFFG1761. Results indicate better feasibility and accelerated performance (149-180 MHz speed) compared to the available searching algorithms. ©2023 IEEE.",69-72,10.1109/SmartCloud58862.2023.00020,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85183316442&doi=10.1109%2fSmartCloud58862.2023.00020&partnerID=40&md5=3b044ff15b1ce17c8543f7a3993ef3b3,2023
Artificial Neural Network Models of Multimodal Biometric Authentication System,"As part of this research, software for multimodal biometric authentication using neural networks is developed to improve the efficiency of information system user authorization. The architectures of artificial neural networks, which are involved in the processes of recognizing a person by facial image and voice, are given. The internationally used databases (DataSet) of images and audio recordings for training of neural networks are considered. The process of training neural networks, the formed database of biometric personal data and the results obtained by the authors are described. © 2023 IEEE.",334-337,10.1109/SUMMA60232.2023.10349480,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85182344711&doi=10.1109%2fSUMMA60232.2023.10349480&partnerID=40&md5=b36614f8bd9f8fa801f473744e73d74e,2020
CowScreeningDB: A public benchmark database for lameness detection in dairy cows,"Lameness is one of the costliest pathological problems affecting dairy animals. It is usually assessed by trained veterinary clinicians who observe features such as gait symmetry or gait parameters as step counts in real time. With the development of artificial intelligence, various modular systems have been proposed to minimize subjectivity in lameness assessment. However, the major limitation in their development is the unavailability of a public database, as most existing ones are either commercial or privately held. To tackle this limitation, we have introduced CowScreeningDB, a multi-sensor database which was built with data from 43 dairy cows. Cows were monitored using smart watches during their normal daily routine. The uniqueness of the database lies in its data collection environment, sampling methodology, detailed sensor information, and the applications used for data conversion and storage, which ensure transparency and replicability. This data transparency makes CowScreeningDB a valuable and objectively comparable resource for further development of techniques for lameness detection for dairy cows. In addition to publicly sharing the database, we present a machine learning technique which classifies cows as healthy or lame by using raw sensory data. To facilitate fair comparisons with state-of-the-art methods, we introduce a novel benchmark. Combining the database, the machine learning technique and the benchmark validate our major objective, which is to establish the relationship between sensor data and lameness. The developed technique reports an average accuracy of 77 % for the best case scenario and presents perspectives for further development. By introducing this framework which encompasses the database, the classification algorithm and the benchmark, we significantly reduce subjectively in lameness assessment. This contribution to lameness detection fosters innovation in the field and promotes transparent, reproducible research in the pursuit of more effective management of dairy cow lameness. Implications: Lameness detection is one of the main tasks in dairy systems, given its importance in the production ambit. However, the data used during detection is generally either held privately or sold commercially. In this study, we create a multi-sensor database (CowScreeningDB), which can be used for lameness. Because we have made the database public1 and free of charge for research purposes, it should act as a benchmark allowing to objectively compare techniques put forth to deal with lameness. We also provide details of the sampling system used, comprised of hardware and a baseline classification algorithm. © 2023 The Authors",-,10.1016/j.compag.2023.108500,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85179488657&doi=10.1016%2fj.compag.2023.108500&partnerID=40&md5=5fcad0a6570ca4674e09df16ef497674,2021
Design of the Configuration Engines with Ryu REST API in Database-oriented SDN Architecture,"Software-defined Networking (SDN) is a new paradigm of network management for achieving more flexible network configuration and utilizing network resources more efficiently. Our research group has proposed a database-oriented SDN architecture in which all the control information is stored in a database system. In this paper, we implement the configuration engine which generates the control information according to network settings specified by the network administrator and applies it to the switch. For this, we investigate the REST API provided by the Ryu controller, which is one of the famous OpenFlow Controllers. The engine we implemented constructs the appropriate parameters of the REST API based on the control information fetched from the database. Then, we show that the engine operates correctly and the network can be managed as intended. © 2023 Copyright held by the owner/author(s).",52-56,10.1145/3638837.3638845,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85187806497&doi=10.1145%2f3638837.3638845&partnerID=40&md5=572a1d2817ce13ad26cb28a365661467,2023
Leveraging Large Language Models for Automatic Hypotheses Testing over Heterogeneous Biological Databases,"An understanding of the molecular basis of musculoskeletal pain is necessary for the development of therapeutics, their management, and possible personalization. One-in-three Americans use OTC pain killers, and one tenth use prescription drugs to manage pain. The CDC also estimates that about 20% Americans suffer from chronic pain. As the experience of acute or chronic pain varies due to individual genetics and physiology, it is imperative that researchers continue to find novel therapeutics to treat or manage symptoms. In this paper, our goal is to develop a seed knowledgebase computational platform, called BioNursery, that will allow biologists to computationally hypothesize, define and test molecular mechanisms underlying pain. In our knowledge ecosystem, we accumulate curated information from users about the relationships among biological databases, analysis tools, and database contents to generate biological analyses modules, called -graphs, or process graphs. We propose a mapping function from a natural language description of a hypothesized molecular model to a computational workflow for testing in BioNursery. We use a crowd computing feedback and curation system, called Explorer, to improve proposed computational models for molecular mechanism discovery, and growing the knowledge ecosystem. © 2023 Owner/Author(s).",-,10.1145/3584371.3613022,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85175853625&doi=10.1145%2f3584371.3613022&partnerID=40&md5=8d0d9ca3ec626ab4fa52f8e00188b831,2020
Mapping Strategies for Declarative Queries over Online Heterogeneous Biological Databases for Intelligent Responses,"The emergence of Alexa and Siri, and more recently, OpenAI's Chat-GPT, raises the question whether ad hoc biological queries can also be computed without end-users' active involvement in the code writing process. While advances have been made, current querying architectures for biological databases still assume some degree of computational competence and significant structural awareness of the underlying network of databases by biologists, if not active code writing. Given that biological databases are highly distributed and heterogeneous, and most are not FAIR compliant, a significant amount of expertise in data integration is essential for a query to be accurately crafted and meaningfully executed. In this paper, we introduce a flexible and intelligent query reformulation assistant, called Needle, as a back-end query execution engine of a natural language query interface to online biological databases. Needle leverages a data model called BioStar that leverages a meta-knowledgebase, called the schema graph, to map natural language queries to relevant databases and biological concepts. The implementation of Needle using BioStar is the focus of this article.  © 2023 ACM.",567-574,10.1145/3555776.3577652,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85162882567&doi=10.1145%2f3555776.3577652&partnerID=40&md5=47ddf908581a187075bf75288d7fc8e6,2020
Pre-trained models for detection and severity level classification of dysarthria from speech,"Automatic detection and severity level classification of dysarthria from speech enables non-invasive and effective diagnosis that helps clinical decisions about medication and therapy of patients. In this work, three pre-trained models (wav2vec2-BASE, wav2vec2-LARGE, and HuBERT) are studied to extract features to build automatic detection and severity level classification systems for dysarthric speech. The experiments were conducted using two publicly available databases (UA-Speech and TORGO). One machine learning-based model (support vector machine, SVM) and one deep learning-based model (convolutional neural network, CNN) was used as the classifier. In order to compare the performance of the wav2vec2-BASE, wav2vec2-LARGE, and HuBERT features, three popular acoustic feature sets, namely, mel-frequency cepstral coefficients (MFCCs), openSMILE and extended Geneva minimalistic acoustic parameter set (eGeMAPS) were considered. Experimental results revealed that the features derived from the pre-trained models outperformed the three baseline features. It was also found that the HuBERT features performed better than the wav2vec2-BASE and wav2vec2-LARGE features. In particular, when compared to the best-performing baseline feature (openSMILE), the HuBERT features showed in the detection problem absolute accuracy improvements that varied between 1.33% (the SVM classifier, the TORGO database) and 2.86% (the SVM classifier, the UA-Speech database). In the severity level classification problem, the HuBERT features showed absolute accuracy improvements that varied between 6.54% (the SVM classifier, the TORGO database) and 10.46% (the SVM classifier, the UA-Speech database) compared to the best-performing baseline feature (eGeMAPS). © 2024 The Author(s)",-,10.1016/j.specom.2024.103047,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85185893219&doi=10.1016%2fj.specom.2024.103047&partnerID=40&md5=6aa86d49ef22f75e677439de1de41b53,2023
Cardiovascular hardware simulator and artificial aorta-generated central blood pressure waveform database according to various vascular ages for cardiovascular health monitoring applications,"This study presents a database of central blood pressure waveforms according to cardiovascular health conditions, to supplement the lack of clinical data in cardiovascular health research, constructed by a cardiovascular simulator. Blood pressure (BP) is the most frequently measured biomarker, and in addition to systolic and diastolic pressure, its waveform represents the various conditions of cardiovascular health. A BP waveform is formed by overlapping the forward and reflected waves, which are affected by the pulse wave velocity (PWV). The increase in vascular stiffness with aging increases PWV, and the PWV-age distribution curve is called vascular age. For cardiovascular health research, extensive data of central BP waveform is essential, but the clinical data published so far are insufficient and imbalanced in quantity and quality. This study reproduces the central BP waveform using a cardiovascular hardware simulator and artificial aortas, which mimic the physiological structure and properties of the human. The simulator can adjust cardiovascular health conditions to the same level as humans, such as heart rate of 40–100 BPM, stroke volume of 40–100 mL, and peripheral resistance of 12 steps. Also, 6 artificial aortas with vascular ages in the 20–70 were fabricated to reproduce the increase in vascular stiffness due to aging. Vascular age calculated from measured stiffness of artificial aorta and central BP waveform showed an error of less than 3 years from the clinical value. Through this, a total of 636 waveforms were created to construct a central BP waveform database according to controlled various cardiovascular health conditions. © 2024 The Authors",-,10.1016/j.compbiomed.2024.108224,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85187204583&doi=10.1016%2fj.compbiomed.2024.108224&partnerID=40&md5=9f17701acf8389369b69ea40ae84e011,2024
T2FM: A novel hashtable based type-2 fuzzy frequent itemsets mining,"Association rule mining (ARM) is an important research issue in the field of data mining that aims to find relations among different items in binary databases. The conventional ARM algorithms consider the frequency of the items in binary databases, which is not sufficient for real time applications. In this paper, a novel hash table based Type-2 fuzzy mining algorithm (T2FM) with an efficient pruning strategy is presented for discovering multiple fuzzy frequent itemsets from quantitative databases. The algorithm employs a hash table based structure for efficient storage and retrieval of item/itemset which reduces the search efficiency to O(1) or constant time. Previously, type-2 based Apriori and FP-growth based fuzzy frequent itemsets mining were proposed, which required large amounts of computation and a greater number of candidate generation and processing. Meanwhile, the proposed approach reduces a huge amount of computation by finding the common keys before the actual intersection operation takes place. An efficient pruning strategy is proposed to avoid unpromising candidates in order to speed up the computations. Several experiments are carried out to verify the efficiency of the approach in terms of runtime and memory for different minimum support threshold and the results show that the designed approach provides better performance compared to the state-of-the-art algorithms. © 2024 – IOS Press. All rights reserved.",3231-3244,10.3233/JIFS-232918,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85185550369&doi=10.3233%2fJIFS-232918&partnerID=40&md5=fdbbbedde75ef5cf1f0cf4651f0feb2e,2021
Analysis and protection to user privacy in quantum private query with non-ideal light source,"Most existing quantum-key-distribution-based quantum private query (QPQ) protocols are designed based on ideal quantum communication devices. However, multiphoton pulses are unavoidable in various light sources due to practical devices. We analyze the security of the QPQ protocol with the user as the light source in the case of non-ideal light sources. The results show that the user’s privacy is seriously threatened when the database utilizes multiphoton pulses to launch attacks. To address this issue, we propose a decoy-state method to resist multiphoton attacks in the QPQ, which is used to verify the honesty of the database. By calculating the ratio of multiphoton pulses, shifting the key, and choosing the suitable light sources, the user can detect and effectively resist the database launching multiphoton attacks. This approach fills the research gap on the user-as-light-source aspect of QPQ protocols, enabling the QPQ to perform better in scenarios involving non-ideal light sources. © The Author(s), under exclusive licence to Springer Science+Business Media, LLC, part of Springer Nature 2024.",-,10.1007/s11128-024-04346-5,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85188939979&doi=10.1007%2fs11128-024-04346-5&partnerID=40&md5=d941f1d691cf949f6935a34960745871,2021
Network pharmacology-based investigation of the molecular mechanisms underlying Sausselia Tianshanensis' potential antiesophageal squamous cell carcinoma activity,"The material basis of using Saussurea involucrata in the treatment of esophageal squamous cell carcinoma was studied through bioinformatics, network pharmacology, and molecular docking. The ESCC data chip GSE167488 was obtained from the GEO database. The GEO2R tool was used to identify significantly differentially expressed genes in ESCC. TCMSP was employed to screen for active ingredients and targets of Saussurea involucrata. Human genes related to ESCC were retrieved from the NCBI Gene database. The genes were intersected to obtain 28 common genes, corresponding to 7 effective components of Saussurea involucrata. PPI network and component-Target network were constructed. GO biological enrichment and KEGG pathway analysis were performed on the targets in the DAVID database to obtain cancerrelated signal transduction, immune regulation, and other disease pathways. The GEPIA database was used to analyze the survival of 20 targets, and 4 significantly different genes with different expressions in ESCC survival rate were screened. Molecular docking was performed and it was found that homoplantaginin, isoimperatorin, kaempferol, luteolin, rosarylline, and quercetin had a good combination with target MMP1, PTGS2, SERPINE1, and VCAM1.  © 2023 SPIE.",-,10.1117/12.3021729,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85183031152&doi=10.1117%2f12.3021729&partnerID=40&md5=8a3724e5efc5aa92271008bb2b7c60aa,2023
Lightweight Time-Domain HRV Index Extraction from Compressive ECG Measurements for Resource Constrained Edge Health Computing Devices,"Electrocardiogram (ECG) derived heart rate variability (HRV) analysis is widely used in both physiological and psychological monitoring. For HRV analysis, an automatic R-peak to R-peak interval (RRI) determination is most essential and that is performed by processing the ECG signal. Continuous HRV analysis is most essential for predicting health problems and stress levels, but HRV analysis devices are restricted with limited battery capacity. To increase the battery lifetime of monitoring devices, we present a simple energy-efficient R-peak detection approach by directly processing a few compressive measurements instead of processing the ECG signal sampled at the Nyquist rate. The proposed CS-ECG based HRV analysis method consists of: compressed sensing (CS) based data reduction, straightforward RRI determination without the use of searchback algorithm with sets of thresholds, and the HRV parameter estimation. The accuracy and robustness of CS-ECG based time-domain HRV index extraction (7 HRV indexes) is evaluated using the MIT-BIH arrhythmia database, MIT-BIH polysomnographic database (slpdb) and Apnea-ECG database. Evaluation results show that the estimated HRV parameters from RR intervals in the CS domain are comparable with the HRV parameters estimated from the RR intervals extracted from the uncompressed ECG signal. Using deterministic binary block diagonal (DBBD) based measurement generation with a compression factor of 4, the CS-ECG based RRI determination can reduce computational resources by 75% without significant estimation error. Thus, the CS-ECG based HRV analysis method has potential to reduce overall energy consumption, memory space, and processing time by a factor of 4 as compared to the HRV analysis method with an uncompressed ECG signal.  © 2023 IEEE.",12-17,10.1109/ICSIMA59853.2023.10373467,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85183467483&doi=10.1109%2fICSIMA59853.2023.10373467&partnerID=40&md5=0342af98fe7e6be1b4ad9a5bd6fc218c,2023
Deep Learning Based Face Recognized Attendance Management System using Convolutional Neural Network,"In today's digital age, manual attendance tracking is plagued by inefficiency and the potential for inaccuracies, often leading to proxy attendance. The main aim of this research work is to manage and monitor the student's attendance by using face recognition technology. This proposed model is mainly categorized four major modules. First module is database creation. Second module is face detection. Then third module is face recognition and final module is automatic attendance updating process. Student images are compiled to create a comprehensive database, ensuring inclusivity across the class roster. The system utilizes the face recognition library, which relies on deep learning based algorithms for face detection and recognition during testing. This face recognition part Convolutional Neural Network algorithm is used. The system matches detected faces with the known database and marks attendance, ensuring a streamlined and accurate attendance tracking process. This innovative approach has the potential to revolutionize attendance management in educational settings, offering a contactless and efficient solution while mitigating proxy attendance concerns. The proposed model is to compare the accuracy level of face recognition.  © 2023 IEEE.",-,10.1109/ICTBIG59752.2023.10456032,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85189246538&doi=10.1109%2fICTBIG59752.2023.10456032&partnerID=40&md5=1bee201076f9399339c845e9ea1c6d81,2023
Hierarchical Knowledge Guided Learning for Real-World Retinal Disease Recognition,"In the real world, medical datasets often exhibit a long-tailed data distribution (i.e., a few classes occupy the majority of the data, while most classes have only a limited number of samples), which results in a challenging long-tailed learning scenario. Some recently published datasets in ophthalmology AI consist of more than 40 kinds of retinal diseases with complex abnormalities and variable morbidity. Nevertheless, more than 30 conditions are rarely seen in global patient cohorts. From a modeling perspective, most deep learning models trained on these datasets may lack the ability to generalize to rare diseases where only a few available samples are presented for training. In addition, there may be more than one disease for the presence of the retina, resulting in a challenging label co-occurrence scenario, also known as multi-label, which can cause problems when some re-sampling strategies are applied during training. To address the above two major challenges, this paper presents a novel method that enables the deep neural network to learn from a long-tailed fundus database for various retinal disease recognition. Firstly, we exploit the prior knowledge in ophthalmology to improve the feature representation using a hierarchy-aware pre-training. Secondly, we adopt an instance-wise class-balanced sampling strategy to address the label co-occurrence issue under the long-tailed medical dataset scenario. Thirdly, we introduce a novel hybrid knowledge distillation to train a less biased representation and classifier. We conducted extensive experiments on four databases, including two public datasets and two in-house databases with more than one million fundus images. The experimental results demonstrate the superiority of our proposed methods with recognition accuracy outperforming the state-of-the-art competitors, especially for these rare diseases. © 1982-2012 IEEE.",335-350,10.1109/TMI.2023.3302473,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85167823893&doi=10.1109%2fTMI.2023.3302473&partnerID=40&md5=ef704542bd55a2dab7f36d00edca1987,2024
Development of Optimized User-Recognition Technology Using Multilayered XAI-Based ECG Signals,"Owing to the swift advancements in information and technology and wearable device technology, research involving bio-signals is being conducted for convenient personal identification authentication. Therefore, deep learning using electrocardiogram (ECG) signals is being developed as a next-generation user-recognition technology for application in real-life environments based on high security and accuracy. This study proposes a deep learning model that combines multilayered explainable artificial intelligence for user recognition in a real-life environment. The ECG-signal database utilizes the MIT-BIH normal sinus rhythm database (NSRDB) and a self-acquired database. A comparison between a single deep learning model and the proposed multilayer deep learning model using these signals confirmed that the proposed model achieved higher accuracy, with minimum accuracy differences of 15% and 0.2%. In addition, the recognition accuracies of the single deep learning model and multilayered deep learning model were compared five times to confirm the difference in output results caused by various factors in the single deep learning model. The user-recognition accuracies of a single deep learning model for the NSRDB exhibited a difference of 3.4%, whereas those of the multilayered model showed a difference of 0.9%. The user-recognition accuracy difference when applying the self-acquired database to the single deep learning model was 1.3%, but that of the multilayered deep learning model was 0.3%. Therefore, the multilayered deep learning model exhibited a stable user-recognition accuracy compared to that of the single structure, and the optimized area that affects the output result was confirmed.  © 2014 IEEE.",10856-10864,10.1109/JIOT.2023.3327738,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85181571132&doi=10.1109%2fJIOT.2023.3327738&partnerID=40&md5=8fca0e55f0944d725f2aa75ab1440daa,2020
Segmentation-based ID preserving iris synthesis using generative adversarial networks,"This study proposes a method for generating ID preserving synthetic iris database. The proposed method can be applied in the generation of a synthetic iris database for various iris recognition tasks. This work successfully combines the main idea of generative adversarial learning, segmentation, and identification to solve real-world problems. The method produces synthetic iris images from the segmentation masks given ID information. The segmentation mask, iris pose, is devised from the input image by using a segmentation network. By doing this, the ID-preserving iris synthesis method generates an unlimited number of synthetic iris images by processing the provided input images. The accuracy of the generated iris images is validated by measuring top-1, top-5, and Area under the Curve (AUC). The SegNet and IDNet performance was evaluated using class accuracy in terms of precision, recall, and F1-score alongside the computation model complexity. This study exhibits ease of use, compatibility, and accuracy in preserving ID information for the generated synthetic images compared to the other baseline methods. Evaluation results prove the efficacy of this work by comparing the randomly generated iris images using the current study alongside existing methods. © The Author(s), under exclusive licence to Springer Science+Business Media, LLC, part of Springer Nature 2023.",27589-27617,10.1007/s11042-023-16508-1,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85168624789&doi=10.1007%2fs11042-023-16508-1&partnerID=40&md5=e5a38a414d7ff0e6687c2451369d8297,2021
